DOI,CCDC_DOI,CCDC,Compound,Dimensionality,Bandgap,PLE,PL,Emission color,PLQY,Lifetime
10.1039/d5qi02625c,10.5517/ccdc.csd.cc2qcx56,2513888,[(DCH2)2Cu3I7·2H2O] (DCH2=(C6H16N2)2+),0D,2.68,310,500,Blue,86.5,18.27
10.1039/d5qi02625c,10.5517/ccdc.csd.cc2qcx89,2513891,[(DCH2)(H3O)Cu3I6] (DCH2=(C6H16N2)2+),1D,2.88,350,535,Yellow,97,0.9
10.1039/d5qi02625c,10.5517/ccdc.csd.cc2qcx78,2513890,[(DC)2Cu4I4] (DCH2=(C6H16N2)2+),2D,2.62,350,630,Orange,90.9,1.6
10.1021/acs.inorgchem.6b01879,10.5517/ccdc.csd.cc1m73ts,1496395,[Cu2I2(quinz)]n (quinz= quinazoline),— ,— ,390,608,Orange,— ,0.823
10.1021/acs.inorgchem.6b01879,10.5517/ccdc.csd.cc1m73vt,1496396,[CuI(3-bzpy)]n (bzpy= 3-benzoylpyridine),— ,— ,390,537,Yellow,— ,1.051
10.1021/acs.inorgchem.4c05299,10.5517/ccdc.csd.cc2l9n7t,2392556,(C24H28P)CuBr2 ([C24H28P]+ = hexyltriphenylphosphonium),0D,2.64,358,587,Yellow,9.4,9.97
10.1021/acs.inorgchem.4c05299,10.5517/ccdc.csd.cc2l9nj3,2392565,(C24H28P)2Cu4Br6 ([C24H28P]+ = hexyltriphenylphosphonium),0D,2.63,397,672,Orange,49.4,35.26
10.1021/acs.inorgchem.4c05299,10.5517/ccdc.csd.cc2l9nk4,2392566,(C24H28P)2Cu4I6 ([C24H28P]+ = hexyltriphenylphosphonium),0D,2.26,450,528,Green,72.1,2.84
10.1021/acs.inorgchem.3c03608,10.5517/ccdc.csd.cc2fsznw,2258339,(C20H20P)2Cu2I4 (C20H20P = ethyltriphenylphosphonium,0D,2.83,365,576,Yellow,22,1.99
10.1021/acs.chemmater.5c02591,10.5517/ccdc.csd.cc2pbtpk,2483059,(S/R-MBA-CH3@18C6)2Cu4I6,— ,2.54,340,540,Yellow-green,98,2.84
10.1021/acs.chemmater.5c02591,10.5517/ccdc.csd.cc2pbtsn,2483062,(S/R-MBA-F@18C6)2Cu2I4,— ,3.51,339,480,Blue,8.9,0.17
10.1021/acs.chemmater.5c02591,10.5517/ccdc.csd.cc2pbttp,2483063,(S/R-MBA-CH3@S/R-18C6)2Cu4I6,— ,2.54,340,547,Yellow-green,98.6,2.69
10.1021/acs.chemmater.5c02591,10.5517/ccdc.csd.cc2pbtrm,2483061,(S/R-MBA-F@S/R-18C6)2Cu4I6,— ,2.53,340,547,Yellow-green,99,2.4
10.1039/C9SC00970A,10.5517/ccdc.csd.cc21dlkm,1888940,"1D-Cu6I6(bmibu)3(bmibu=1,4-bis(2-methyl-1H-imidazol-1-yl)butane)",1D,2.5,360,554,Yellow,50,— 
10.1021/jacs.7b04550,10.5517/ccdc.csd.cc1nbwrm,1529811,Cu3I5(bz-ted)2 ,0D,3,360,560,Yellow,75,— 
10.1021/jacs.7b04550,10.5517/ccdc.csd.cc1nbwsn,1529812,Cu4I6(3-Cl-pr-ted)2(pr=propyl),0D,3.1,360,540,Green-yellow,92,— 
10.1021/jacs.7b04550,10.5517/ccdc.csd.cc1nbwtp,1529813,Cu4I6(pr-ted)2,0D,3.1,360,535,Green,92,— 
10.1021/jacs.7b04550,10.5517/ccdc.csd.cc1nbwpk,1529809,Cu4I6(2-Br-et-ted)2,0D,2.9,360,535,Green,75,— 
10.1021/jacs.7b04550,10.5517/ccdc.csd.cc1nbwwr,1529815,Cu4I6(i-pr-ted)2,0D,3.1,360,575,Orange,70,— 
10.1021/jacs.7b04550,10.5517/ccdc.csd.cc1nbwxs,1529816,Cu6I8(bu-ted)2,0D,3,360,530,Green,90,— 
10.1021/jacs.7b04550,10.5517/ccdc.csd.cc1m98w2,1498474,Cu2I4(mtp)2(mtp=4-mercaptopyridine),0D,2.3,360,555,Yellow,61,— 
10.1021/jacs.7b04550,10.5517/ccdc.csd.cc1nbwvq,1529814,Cu4I6(tpp)2 (bttmm)2,0D,2.5,360,540,Green-yellow,90,— 
10.1021/jacs.7b04550,10.5517/ccdc.csd.cc1nbwql,1529810,Cu4I6(tpp)2(btmdme)2,0D,2.4,360,545,Green-yellow,64,— 
10.1021/jacs.7b04550,10.5517/ccdc.csd.cc1nbwyt,1529817,Cu6I8(btmdb)2,0D,2.4,360,540,Green-yellow,70,— 
10.1039/C8DT04328K,10.5517/ccdc.csd.cc1q0y5v,1579827,[Cu(Me-TPP)I]2Cu2I4,0D,2,440,660,Red,4,2.1
10.1039/C8DT04328K,10.5517/ccdc.csd.cc1q0y6w,1579828,[Cu4I6(Pr-TPP)2],0D,2,440,640,Red,1.1,1.1
10.1039/C8DT04328K,10.5517/ccdc.csd.cc1q0y7x,1579829,[Cu4I6(Bu-TPP)2],0D,2,440,623,Orange-red,1,0.45
10.1039/C8DT04328K,10.5517/ccdc.csd.cc1q0y8y,1579830,[Cu4I6(Bn-TPP)2],0D,2,440,649,Red,3.5,0.25
10.1021/jacs.9b13772,10.5517/ccdc.csd.cc237jjf,1943654,"Cu4I6(btdmem)2 (btdmem=N-((1H-Benzo[d][1,2,3]triazol-1-yl)methyl)-N,N-dimethylethanaminium)",1D,2.6,380,550,Green-yellow,25,— 
10.1021/jacs.9b13772,10.5517/ccdc.csd.cc237jpl,1943659,"Cu6I8(btdmpm)2 (btdmpm=N-((1H-Benzo[d][1,2,3]triazol-1-yl)methyl)-N,N-dimethylpropan-2-aminium)",1D,2.5,380,650,Red,29,2.48
10.1021/jacs.9b13772,10.5517/ccdc.csd.cc237jrn,1943661,"Cu8I10(bttmb)2 (bttmb=4-(1H-Benzo[d][1,2,3]triazol-1-yl)-N,N,N-trimethylbutan-1-aminium)",1D,2.65,380,528,Green,80,5.1
10.1021/jacs.9b13772,10.5517/ccdc.csd.cc237jnk,1943658,"Cu4I6(bttmpe)2 (bttmpe=5-(1H-Benzo[d][1,2,3]triazol-1-yl)-N,N,N-trimethylpentan-1-aminium)",1D,2.45,380,552,Green-yellow,70,— 
10.1021/jacs.9b13772,10.5517/ccdc.csd.cc237jqm,1943660,"Cu4I6(5-F-bttmp)2 (5-F-bttmp=3-(5-Fluoro-1H-benzo[d][1,2,3]triazol-1-yl)-N,N,N-trimethylpropan-1-aminium)",1D,2.2,380,615,Orange-red,53,3.2
10.1021/jacs.9b13772,10.5517/ccdc.csd.cc237jkg,1943655,"Cu4I6(5-m-bttmp)2 (5-m-bttmp= 3-(5-Methyl-1H-benzo[d][1,2,3]triazol-1-yl)-N,N,N-trimethylpropan-1-aminium)",1D,2.45,380,596,Orange-red,85,3.38
10.1021/jacs.9b13772,10.5517/ccdc.csd.cc237jgc,1943652,"Cu4I6(5,6-dm-bttmp)2 (5,6-dm-bttmp=3-(5,6-Dimethyl-1H-benzo[d][1,2,3]triazol-1-yl)-N,N,N-trimethylpropan-1-aminium)",1D,2.5,380,570,Yellow-green,68,2.92
10.1021/jacs.9b13772,10.5517/ccdc.csd.cc237jhd,1943653,"Cu4I6(bttmmp)2 (bttmmp=3-(1H-Benzo[d][1,2,3]triazol-1-yl)-N,N,N,2-tetramethylpropan-1-aminium)",1D,2.4,380,553,Green-yellow,53,— 
10.1039/D0TC04672H,10.5517/ccdc.csd.cc266grn,2032011,Cu4Br6(bttme)2,1D,2.5,360,615,Orange,56,— 
10.1039/D0TC04672H,10.5517/ccdc.csd.cc237jfb,1943651,Cu4I6(bttme)2 ,1D,2.45,360,585,Yellow,69,— 
10.1039/D0TC04672H,10.5517/ccdc.csd.cc266gsp,2032012,Cu4Br6(bttmpe)2,1D,2.5,360,600,Orange,69,— 
 10.1021/acs.inorgchem.6c00074,10.5517/ccdc.csd.cc2l47jj,2387357,(MEP)(Cu2Br4)0.5 (MEP = Methyltriphenylphosphonium),0D,2.64,382,516,Green,38.5,3.12
 10.1021/acs.inorgchem.6c00074,10.5517/ccdc.csd.cc2l47nn,2387361,(MEP)(Cu4Br6)0.5 (MEP = Methyltriphenylphosphonium),0D,2.83,385,640,Yellow,77.4,28.02
 10.1021/acs.inorgchem.6c00074,10.5517/ccdc.csd.cc2l47zz,2387371,(MEP)8(Cu4Br6)4 (MEP = Methyltriphenylphosphonium),0D,2.71,385,684,Orange,42.5,27.05
10.1021/acs.inorgchem.7b03160,10.5517/ccdc.csd.cc1q3dx4,1582206,[Cu4I4(P(C6H4–CF3)3)4],— ,4.4,360,525,Blue,18,1.8
10.1021/acs.inorgchem.7b03160,10.5517/ccdc.csd.cc1q3dv2,1582204,[Cu4I4(P(C6H4–CH3)3)4],— ,4.68,347,515,Cyan,50,3.5
10.1021/acs.inorgchem.7b03160,10.5517/ccdc.csd.cc1q3dw3,1582205,[Cu4I4(P(C6H4–OCH3)3)4],— ,4.75,320,558,Green,72,4.5
10.1021/ic201128a,10.5517/ccyd54m,875630,[Cu4I4(PPh3)4],— ,4.68,300,545,Green,64,4.3
10.1021/ic201128a,10.5517/ccyd55n,875631,[Cu4I4(Pcpent3)4],— ,— ,290,523,Green,— ,— 
10.1039/D2TC05479E,10.5517/ccdc.csd.cc2drlh8,2227210,"Cu6I8(L1)2 (L1= 1,3-bis((1H-benzo[d][1,2,3]triazol-1-yl)methyl)-1H-imidazol-3-ium iodide)",2D,2.4,360,610,Orange,21,1.02
10.1039/D2TC05479E,10.5517/ccdc.csd.cc2drlg7,2227209,"Cu6I8(L2)2 (L2=1,3-bis((1H-benzo[d][1,2,3]triazol-1-yl)methyl)-2-methyl-1H-imidazol-3-ium iodide )",2D,2.7,360,560,Yellow,15,17.8
10.1039/D2TC05479E,10.5517/ccdc.csd.cc2drld5,2227207,"Cu6I8(L2)2 (L2=1,3-bis((1H-benzo[d][1,2,3]triazol-1-yl)methyl)-2-methyl-1H-imidazol-3-ium iodide )",0D,2.9,360,550,Yellow,34,— 
10.1039/D2TC05479E,10.5517/ccdc.csd.cc2drlf6,2227208,"Cu4I6(L3)2 (L3=1,3-bis((1H-benzo[d][1,2,3]triazol-1-yl)methyl)-4ethyl-1H-imidazol-3-ium iodide)",1D,2.3,360,625,Orange-red,38,12.77
10.1039/D2TC05479E,10.5517/ccdc.csd.cc2drlj9,2227211,"Cu4I6(L4)2 (L4=1,3-bis((5,6-dimethyl-1H-benzo[d][1,2,3]triazol-1-yl)methyl)-1H-imidazol-3-ium iodide)",1D,2.4,360,590,Yellow,64,4.05
10.1039/D4QI00500G,10.5517/ccdc.csd.cc2fvyx5,2260238,(4-bzpy)2Cu6I8 ,— ,2.36,450,540,Yellow,0.1,0.04
10.1039/D4QI00500G,10.5517/ccdc.csd.cc2jwsgp,2350403,(4-bzpy)3Cu3I6 ,— ,2.42,450,560,Yellow,0.3,0.067
